technology_id,technology_name,family,subfamily,absorber_material,device_architecture,TRL_level,commercialization_status,bandgap_eV,electron_affinity_eV,absorption_coefficient_cm1,absorption_coefficient_cm-1,electron_mobility_cm2Vs,hole_mobility_cm2Vs,carrier_lifetime_ns,defect_density_cm-3,dielectric_constant,absorber_thickness_um,base_efficiency_pct,efficiency_record_percent,efficiency_commercial_percent,voc_typical_V,jsc_mA_cm2,fill_factor_percent,temp_coefficient_pct_c,baseline_degradation_pct_year,module_cost_usd_w,bankability_score,maturity_score,heat_resilience_score,humidity_resilience_score,soiling_resilience_score,toxicity_level,scalability_score,fabrication_method,notes,ionization_energy_eV,conduction_band_min_eV,valence_band_max_eV,refractive_index,extinction_coefficient,optical_penetration_depth_um,urbach_energy_eV,work_function_eV,doping_concentration_cm3,doping_concentration_cm-3,series_resistance_ohm_cm2,shunt_resistance_ohm_cm2,thermal_conductivity_WmK,moisture_sensitivity_score,uv_stability_score,ion_migration_score,phase_stability_score,carbon_footprint_gCO2eq_kWh,recyclability_score,supply_chain_risk_score,source_quality,confidence_score,source_url,diffusion_length_um,mu_tau_product_cm2_V,voc_loss_V,recombination_factor_cm3_ns,absorption_fraction_pct
TECH_11,Perovskite-Silicon Tandem,Tandem,perovskite/c-Si,Perovskite + c-Si,monolithic tandem,7,pilot,1.68,3.9,150000.0,150000.0,20.0,15.0,1000.0,1000000000000000.0,25.0,160.0,26.0,34.8,24.0,1.75,18.5,80.0,-0.28,1.2,0.45,45,55,3.5,2.0,2.0,high,6,monolithic_tandem,Very high efficiency potential.,5.58,-3.9,-5.58,2.3,0.5,0.06666666666666667,0.085,4.8,5e+16,5e+16,0.12,1500.0,100.0,4,5,4,5,45,5,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,6.705371985292296,1.7500000000000002e-05,-0.07000000000000006,1000000000000.0,100.0
TECH_12,All-Perovskite Tandem,Tandem,perovskite/perovskite,wide+narrow perovskites,monolithic tandem,5,research,1.75,3.9,150000.0,150000.0,20.0,15.0,800.0,2000000000000000.0,25.0,1.0,22.0,28.0,10.0,1.8,16.0,72.0,-0.3,3.5,0.35,25,35,2.5,1.0,1.5,high,5,solution_tandem,Research tandem high potential.,5.65,-3.9,-5.65,2.3,0.5,0.06666666666666667,0.09,4.8,1e+16,1e+16,0.25,500.0,0.5,6,3,6,3,50,2,8,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,5.997467029414517,1.4000000000000001e-05,-0.050000000000000044,2500000000000.0,99.99996940976796
TECH_13,OPV Bulk Heterojunction,Organic,BHJ,polymer:NFA,bulk heterojunction,5,research_niche,1.6,3.7,80000.0,80000.0,0.01,0.001,10.0,1e+16,3.5,0.15,8.0,19.2,8.0,0.75,16.0,65.0,-0.2,5.0,0.25,25,35,2.5,1.0,2.0,low,5,roll_to_roll_solution,Lightweight/flexible but low stability/mobility.,5.300000000000001,-3.7,-5.300000000000001,1.8,0.1,0.125,0.2,4.3,10000000000000.0,10000000000000.0,0.35,200.0,0.2,6,4,0,3,20,3,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.01188735400177817,5.5e-11,0.8500000000000001,1000000000000000.0,69.88057880877977
TECH_14,Small Molecule OPV,Organic,small molecule,donor:acceptor organic,evaporated OPV,5,research_niche,1.7,3.6,70000.0,70000.0,0.005,0.001,8.0,1e+16,3.2,0.1,7.0,15.0,6.0,0.8,12.0,62.0,-0.2,5.0,0.35,20,30,2.0,1.0,1.5,low,4,thermal_evaporation,Specialty organic PV.,5.3,-3.6,-5.3,1.8,0.1,0.14285714285714285,0.2,4.3,10000000000000.0,10000000000000.0,0.4,150.0,0.2,6,4,0,3,25,3,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.007852527611512564,2.4e-11,0.8999999999999999,1250000000000000.0,50.34146962085906
TECH_15,DSSC,Emerging,Dye-sensitized,TiO2+dye+electrolyte,photoelectrochemical,5,niche_research,1.8,4.0,50000.0,50000.0,0.1,0.001,1000.0,1e+16,30.0,10.0,7.0,13.0,6.0,0.7,14.0,65.0,-0.25,3.0,0.2,30,40,2.0,1.0,2.0,medium,4,screen_printed_mesoporous,Indoor/low-light niche.,5.8,-4.0,-5.8,2.4,0.2,0.2,0.15,4.7,1000000000000000.0,1000000000000000.0,0.35,300.0,8.0,6,5,2,4,35,4,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.36020483694600447,5.05e-08,1.1,10000000000000.0,100.0
TECH_16,PbS Quantum Dot,Quantum dot,PbS QD,PbS,quantum dot heterojunction,4,research,1.3,4.2,100000.0,100000.0,0.1,0.01,100.0,1e+16,18.0,0.4,9.0,13.8,8.0,0.6,25.0,60.0,-0.3,4.0,0.3,20,30,2.5,1.0,2.0,high,4,colloidal_qd_solution,Tunable bandgap; stability/toxicity risk.,5.5,-4.2,-5.5,3.0,0.3,0.1,0.08,4.9,1000000000000000.0,1000000000000000.0,0.35,250.0,2.0,5,4,1,4,60,3,8,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.11887354001778173,5.5000000000000004e-09,0.7000000000000001,100000000000000.0,98.16843611112658
TECH_17,Perovskite Quantum Dot,Quantum dot,CsPbI3 QD,CsPbI3 QDs,quantum dot heterojunction,4,research,1.73,3.8,100000.0,100000.0,1.0,0.1,100.0,1e+16,20.0,0.5,10.0,17.0,7.0,0.95,17.0,65.0,-0.3,4.5,0.35,18,25,2.5,1.0,2.0,high,4,colloidal_qd_solution,Emerging QD technology.,5.529999999999999,-3.8,-5.529999999999999,2.3,0.3,0.1,0.08,4.7,1000000000000000.0,1000000000000000.0,0.35,250.0,0.5,6,3,5,3,60,2,8,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.37591113998336295,5.500000000000001e-08,0.78,100000000000000.0,99.32620530009146
TECH_18,GaAs Single Junction,III-V,GaAs,GaAs,single junction III-V,8,specialty_space,1.42,4.07,100000.0,100000.0,8500.0,400.0,100000.0,1000000000000.0,13.1,3.0,29.0,29.1,28.0,1.05,29.5,86.0,-0.2,0.2,2.0,65,80,4.0,3.5,3.0,medium,3,mocvd_mbe,Excellent efficiency and radiation tolerance.,5.49,-4.07,-5.49,3.6,0.5,0.1,0.007,5.2,1e+17,1e+17,0.04,100000.0,55.0,1,9,0,9,80,6,6,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1069.2613201968256,0.445,0.3699999999999999,10000000.0,99.99999999999064
TECH_19,InP Single Junction,III-V,InP,InP,single junction III-V,7,specialty_space,1.34,4.38,80000.0,80000.0,5400.0,200.0,50000.0,1000000000000.0,12.5,3.0,24.0,24.2,20.0,0.88,30.0,80.0,-0.22,0.2,2.5,55,70,4.0,3.5,3.0,medium,2,mocvd,Radiation-tolerant specialty PV.,5.72,-4.38,-5.72,3.2,0.4,0.125,0.008,5.3,1e+17,1e+17,0.06,50000.0,68.0,1,9,0,9,85,5,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,599.7467029414518,0.14,0.4600000000000001,20000000.0,99.99999999622486
TECH_20,III-V Multijunction,III-V,triple junction,GaInP/GaAs/Ge,multi-junction concentrator,8,specialty_space,1.85,4.0,100000.0,100000.0,3000.0,200.0,100000.0,1000000000000.0,13.0,5.0,32.0,47.6,30.0,2.5,14.0,86.0,-0.15,0.15,3.5,60,70,4.0,3.5,3.0,medium,2,mocvd_multijunction,Highest efficiency class; specialty/space.,5.85,-4.0,-5.85,3.5,0.5,0.1,0.007,5.0,1e+17,1e+17,0.04,100000.0,50.0,1,9,0,9,90,5,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,641.1561946440571,0.16,-0.6499999999999999,10000000.0,100.0
TECH_21,CZTSSe Kesterite,Thin film,Kesterite,"Cu2ZnSn(S,Se)4",kesterite heterojunction,5,research,1.1,4.3,100000.0,100000.0,10.0,5.0,1000.0,1000000000000000.0,9.0,2.0,10.0,14.9,8.0,0.55,30.0,60.0,-0.35,1.5,0.2,25,35,2.5,2.0,3.0,low,6,solution_or_sputter_selenization,Earth-abundant thin-film candidate.,5.4,-4.3,-5.4,2.5,0.4,0.1,0.08,5.0,1000000000000000.0,1000000000000000.0,0.3,500.0,4.0,3,5,0,5,25,7,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,4.389696383634038,7.5e-06,0.55,1000000000000.0,99.99999979388464
TECH_22,Sb2Se3 Thin Film,Thin film,Antimony chalcogenide,Sb2Se3,thin-film heterojunction,4,research,1.2,4.1,100000.0,100000.0,10.0,5.0,1000.0,1000000000000000.0,15.0,1.0,10.0,10.6,6.0,0.45,28.0,55.0,-0.3,2.0,0.25,18,25,2.5,2.0,3.0,medium,5,thermal_evaporation_or_solution,Emerging chalcogenide PV.,5.3,-4.1,-5.3,3.0,0.3,0.1,0.07,4.8,1000000000000000.0,1000000000000000.0,0.35,400.0,1.0,3,5,0,5,35,5,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,4.389696383634038,7.5e-06,0.75,1000000000000.0,99.99546000702375
TECH_23,Cu2O Solar Cell,Oxide,Cu2O,Cu2O,oxide heterojunction,3,research,2.0,3.2,10000.0,10000.0,100.0,50.0,100.0,1e+16,7.6,2.0,5.0,8.0,3.0,0.7,10.0,50.0,-0.25,3.0,0.15,15,20,2.0,3.0,3.0,low,5,oxide_growth,Earth-abundant oxide; low demonstrated efficiency.,5.2,-3.2,-5.2,2.8,0.2,1.0,0.1,4.6,1000000000000000.0,1000000000000000.0,0.5,200.0,5.0,2,7,0,5,20,8,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,4.389696383634038,7.5e-06,1.3,100000000000000.0,86.46647167633873
TECH_24,BiOI Thin Film,Emerging,bismuth oxyhalide,BiOI,thin-film heterojunction,3,research,1.8,4.0,100000.0,100000.0,1.0,1.0,50.0,1e+16,20.0,0.5,3.0,5.0,2.0,0.6,8.0,45.0,-0.3,3.0,0.2,10,15,2.0,2.0,2.0,medium,3,solution_process,Very early-stage lead-free material.,5.8,-4.0,-5.8,2.2,0.3,0.1,0.1,4.8,1000000000000000.0,1000000000000000.0,0.5,100.0,1.0,4,4,1,4,30,4,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.35841720885479955,5.0000000000000004e-08,1.2000000000000002,200000000000000.0,99.32620530009146
TECH_25,Hybrid Perovskite 2D/3D,Perovskite,2D/3D,Ruddlesden-Popper/3D perovskite,2D/3D passivated perovskite,5,research,1.6,3.9,120000.0,120000.0,10.0,8.0,800.0,500000000000000.0,20.0,0.6,16.0,25.0,10.0,1.05,23.0,72.0,-0.3,2.0,0.3,30,40,3.0,2.5,2.0,high,5,solution_process,Improved stability vs 3D perovskite but lower transport.,5.5,-3.9,-5.5,2.2,0.4,0.08333333333333333,0.08,4.8,1e+16,1e+16,0.2,600.0,0.4,4,5,4,5,45,2,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,4.301006506257595,7.2000000000000005e-06,0.55,625000000000.0,99.92534141916232
TECH_26,CdSeTe Thin Film,Thin film,CdSeTe,CdSeTe,CdSeTe/CdTe graded absorber,9,commercial,1.42,4.0,100000.0,100000.0,300.0,40.0,10000.0,100000000000000.0,10.2,3.0,19.5,22.3,19.0,0.86,28.0,78.0,-0.27,0.45,0.24,78,90,4.5,4.0,4.5,medium,8,vapor_transport_deposition,CdTe variant with Se alloying.,5.42,-4.0,-5.42,2.3,0.5,0.1,0.04,5.0,1000000000000000.0,1000000000000000.0,0.13,2500.0,6.5,2,7,0,8,25,7,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,66.08886782591308,0.0017000000000000001,0.5599999999999999,10000000000.0,99.99999999999064
TECH_27,Tandem III-V on Silicon,Tandem,III-V/Si,GaInP/GaAs/Si,wafer bonded tandem,6,pilot_research,1.8,4.05,100000.0,100000.0,1000.0,100.0,50000.0,1000000000000.0,12.0,150.0,28.0,35.9,24.0,1.8,17.0,79.0,-0.2,0.3,1.5,35,45,4.0,3.5,3.0,medium,2,wafer_bonding_epitaxy,High-efficiency but manufacturing complex.,5.85,-4.05,-5.85,3.5,0.5,0.1,0.008,5.0,1e+16,1e+16,0.06,50000.0,100.0,1,9,0,9,80,5,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,265.80931620580145,0.0275,0.0,20000000.0,100.0
TECH_28,Bifacial TOPCon Module,Silicon,Bifacial TOPCon,n-Si + tunnel oxide/poly-Si,bifacial passivated contact module,9,commercial,1.12,4.05,10000.0,10000.0,1400.0,500.0,1200000.0,5000000000.0,11.7,150.0,22.5,26.7,22.5,0.72,41.0,82.5,-0.3,0.4,0.28,86,92,3.5,3.5,3.5,low,9,bifacial_glass_glass,Site-sensitive bifacial version of TOPCon.,5.17,-4.05,-5.17,3.45,0.01,1.0,0.055,4.65,1e+16,1e+16,0.04,12000.0,148.0,1,9,0,9,40,8,3,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1711.418715497304,1.1400000000000001,0.40000000000000013,4166.666666666667,100.0
TECH_29,Bifacial HJT Module,Silicon,Bifacial HJT,c-Si + a-Si:H,bifacial silicon heterojunction,9,commercial,1.12,4.05,10000.0,10000.0,1450.0,520.0,1500000.0,4000000000.0,11.7,150.0,23.5,26.8,23.5,0.74,41.0,83.5,-0.25,0.35,0.36,74,82,4.5,3.5,3.5,low,8,bifacial_hjt_glass_glass,High bifaciality premium module.,5.17,-4.05,-5.17,3.5,0.015,1.0,0.05,4.7,5000000000000000.0,5000000000000000.0,0.035,15000.0,148.0,1,9,0,9,40,8,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1948.3527825002536,1.4775,0.3800000000000001,2666.6666666666665,100.0
TECH_30,Flexible CIGS Module,Thin film,Flexible CIGS,"Cu(In,Ga)Se2",flexible CIGS module,8,commercial_niche,1.15,4.5,100000.0,100000.0,80.0,20.0,30000.0,50000000000000.0,13.6,2.0,15.0,21.0,14.0,0.68,32.0,70.0,-0.32,0.7,0.55,45,60,3.5,3.0,4.0,medium,5,roll_to_roll_cigs,Lightweight flexible building-integrated option.,5.65,-4.5,-5.65,2.4,0.4,0.1,0.03,5.1,500000000000000.0,500000000000000.0,0.15,2000.0,8.0,2,6,0,6,35,6,5,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,62.07968160435385,0.0015,0.46999999999999986,1666666666.6666667,99.99999979388464
