field,group,decision_use,policy_note,use,policy
thermal_u0_w_m2k,thermal,decision_input_or_evidence_fallback,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
thermal_u1_w_s_m3k,thermal,decision_input_or_evidence_fallback,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
bom_evidence_status,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
project_segment,commercial,decision_input_when_supplied,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
spectral_response_file,optics,sensitivity_unless_candidate_specific_validated,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
spectral_irradiance_source,optics,sensitivity_unless_candidate_specific_validated,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
iam_curve_file,optics,sensitivity_unless_candidate_specific_validated,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
thermal_evidence_source,thermal,decision_input_or_evidence_fallback,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
electrical_model_validation_reference,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
bom_source_reference,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
record_kind,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
evidence_tier,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
source_type,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
data_verified_date,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
revision_date,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
length_m,geometry,decision_input,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
width_m,geometry,decision_input,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
weight_kg,geometry,decision_input,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
glass_structure,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
glass_thickness_mm,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
encapsulant,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
backsheet,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
interconnection,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
junction_box,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
bypass_diodes,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
frame,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
certifications,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
availability_status,commercial,decision_input_when_supplied,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
verification_note,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
bifaciality_factor,optics_bifacial,,,decision_input_when_rear_geometry_modeled,Candidate-specific manufacturer or measured value; annual rear gain remains a geometry-model output.
bifaciality_tolerance_pct_points,uncertainty,,,uncertainty_input_when_supported,Tolerance widens uncertainty; it must not add a hidden bonus to mean yield.
bifaciality_source,provenance,,,audit_and_uncertainty,Source must identify candidate-specific bifaciality evidence.
