parameter,unit,layer,source_evidence,decision_use,purpose,validation_guard,fallback_policy,bias_risk,v9_status
cec_celltype,category,model mapping,module evidence,MODEL_GATE,Determines CEC fallback availability,c-Si accepted decision fallback; non-c-Si exploratory without matrix,fail closed for robust cross-tech decision,model-form bias,V9 gate added
IEC61853 Pmax G-T matrix,"W over G,T",module lab evidence,IEC 61853-1 accredited/traceable lab,YES_PREFERRED,Module-specific nonlinear performance surface,>=6 points; useful G/T span; duplicate/STC checks,c-Si CEC fallback only where allowed,measurement/interpolation uncertainty,new V9 preferred path
matrix measurement uncertainty,%,module lab evidence,lab report,REPORT/UNCERTAINTY,Future per-point uncertainty propagation,numeric if supplied,current global guardrail,uncertainty,template supports field; propagation pending
thermal_u0_w_m2k,W/m2K,thermal evidence,IEC 61853-2/module test,YES_PREFERRED,Faiman module temperature,u0>0,SAPM construction proxy,thermal-model uncertainty,new evidence hierarchy
thermal_u1_w_s_m3k,W s/m3 K,thermal evidence,IEC 61853-2/module test,YES_PREFERRED,Wind-dependent Faiman cooling,u1>=0,SAPM construction proxy,thermal-model uncertainty,new evidence hierarchy
thermal_construction,category,thermal fallback,datasheet/assumption,YES_FALLBACK,Selects SAPM glass/glass or glass/polymer proxy,recognized string,glass/polymer default path,generic coefficient bias,explicit evidence label
module_temperature_c,degC,thermal model,Faiman/SAPM,YES_MATRIX,G-T matrix temperature,finite,model output,thermal-model uncertainty,separated from cell T in V9
cell_temperature_c,degC,thermal model,Faiman/SAPM,YES_CEC,CEC single-diode temperature,finite,model output,thermal-model uncertainty,separated from module T in V9
technology-class spectral factor,ratio,spectral,pvlib First Solar model,SENSITIVITY_ONLY,Shows potential climate spectral sensitivity,valid AM/PW domain,factor=1 only for unsupported class; errors on invalid daylight domain,technology-family bias,barred from primary decision
module-specific EQE/SR,response vs wavelength,spectral evidence,IEC 61853-2/lab,NOT_YET_DECISION,Required for future module-specific spectral correction,must be paired with time-resolved spectral irradiance/model,not silently approximated,false evidence-label risk,fail closed in V9
common_soiling_loss_pct,%,project loss,user/project assumption,YES_COMMON,Same loss for every candidate,0..30 UI,no technology-specific score,soiling technology bias,corrected
heat_resilience_score,score,legacy research,legacy database,NO_EPC,Research metadata only,,never imported to EPC,heuristic bias,isolated
humidity_resilience_score,score,legacy research,legacy database,NO_EPC,Research metadata only,,never imported to EPC,heuristic bias,isolated
soiling_resilience_score,score,legacy research,legacy database,NO_EPC,Research metadata only,,never imported to EPC,heuristic bias,isolated
low_light_score,score,legacy research,legacy database,NO_EPC,Not used; low-light comes from module performance surface/model,,never imported to EPC,heuristic bias,isolated
common_degradation_pct_year,%/year,lifetime sensitivity,user scenario,YES_PRIMARY_SENSITIVITY,Same degradation path for all candidates until calibrated module/BOM model exists,>=0,default 0.50 declared scenario,arbitrary degradation,"common, explicit, not prediction"
first_year_retention_pct,%,warranty sensitivity,manufacturer warranty,SENSITIVITY_ONLY,Warranty-derived lifetime scenario,0..100,none,warranty-as-degradation bias,removed from primary winner
annual_warranty_degradation_pct_year,%/year,warranty sensitivity,manufacturer warranty,SENSITIVITY_ONLY,Warranty-derived lifetime scenario,>=0,none,warranty-as-degradation bias,removed from primary winner/economics
BOM/climate degradation coefficients,mechanism-specific,reliability,empirical field/accelerated-test evidence,NOT_YET,Future calibrated degradation/failure model,must be mechanism/BOM specific,no invented %/year conversion,large scientific risk,exposure only in V9
hot/damp/UV/thermal-cycle exposures,counts/proxies,reliability diagnostics,hourly model,NO_PRIMARY_RANK,Describe environmental stress,transparent thresholds,no conversion to degradation,proxy calibration,kept diagnostic
quote_usd_w,$/W,economics,actual EPC/user quote,YES_IF_REAL,Module price in switching calculation,finite; seed blank,economics disabled without baseline quote,market-price fabrication,no invented prices
area_bos_usd_m2,$/m2,economics,project assumption,YES_ECONOMIC,Area-sensitive BOS trade-off,>=0,0 default,partial BOS scope,explicit proxy only
energy_value_usd_kwh,$/kWh,economics,project/PPA assumption,YES_ECONOMIC,NPV energy value,>=0,user input,financial assumption,explicit
discount_rate_pct,%,economics,project finance assumption,YES_ECONOMIC,Discounts energy value,>-100; UI 0..30,user input,financial assumption,explicit
switching price,$/W,decision economics,derived,YES_IF_MODEL_ELIGIBLE,Indifference module price vs baseline,requires real baseline quote and energy-model eligibility,blocked for decision-ineligible module,economics reviving bad physics,V9 gate added
minimum_separation_pct,%,decision policy,user,YES_GUARDRAIL,Minimum practical leader gap,>=0,1% default,arbitrary threshold,explicit
energy_rating_uncertainty_guardrail_pct,%,decision policy,IEA-informed user-adjustable,YES_GUARDRAIL,"Winner must exceed max(policy,guardrail)",>=0,2% default screening guardrail,false precision,added V9; not CI
decision_eligible,boolean,evidence gate,derived,YES_GATE,Fails closed if model evidence inadequate,all selected required for robust cross-tech winner,no override except better evidence/research mode,model-form bias,added V9
robust winner,categorical,decision,derived,OUTPUT,"Only if evidence complete, same primary/common-degradation leader, gap above guardrail",strict,otherwise no robust winner,forced winner bias,added V9
bandgap_eV / absorber_thickness_um / mobility / lifetime / defects / interfaces,various,material research,Solaryn technology/material DB,NO_EPC_CURRENT,Preserved for future validated R&D/manufacturer engine,provenance required before quantitative decision use,research-only,deep-physics heuristic leakage,preserved and isolated
module_id,string,module metadata,supplier/user,YES_KEY,"Unique candidate key used to join physics, lifetime and economics outputs",non-empty; unique within candidate set,No fallback,identity collision,explicitly audited V9
technology_id,string,module metadata,supplier/database,NO_RANK,Links commercial module to research taxonomy without creating a score,non-empty for seeded data; referential integrity test,May remain descriptive for uploaded offers,taxonomy leakage into decision,descriptive only in EPC path
manufacturer,string,module metadata,datasheet/supplier,NO_RANK,Traceability and reporting,non-empty for decision candidates,No inferred manufacturer,provenance,kept/descriptive
model,string,module metadata,datasheet/supplier,NO_RANK,Exact product identity for evidence matching,non-empty for decision candidates,No inferred model,wrong-product evidence,kept/descriptive
technology_label,string,module metadata,datasheet/database,NO_RANK,Human-readable technology family label,descriptive only; must never affect numerical winner,No fallback required,technology-label bias,kept/descriptive only
cells_in_series_basis,string,module electrical metadata,datasheet/engineering interpretation,NO_RANK,Explains how electrical series-cell count was derived for half-cut/unusual layouts,must document interpretation when electrical cell count is non-obvious,Manual verification required,CEC fit parameterization error,added traceability
module_area_m2,m2,module geometry,datasheet,YES_ECONOMICS,Converts area-sensitive BOS assumption to USD/W and supports density checks,positive numeric,No technology default,area/BOS bias,kept; economics only
module_efficiency_pct,%,module metadata,datasheet,NO_RANK,Display/nameplate sanity context; not used as independent climate score,positive numeric; cross-check may be added against Pmax/(area*1000),Do not impute from technology,double counting efficiency,kept descriptive; not winner score
noct_c,degC,module thermal metadata,datasheet,NO_CURRENT_USE,Legacy/optional thermal descriptor; V9 prefers measured U0/U1 or transparent SAPM fallback,"if used later, validate units and method definition",Do not silently substitute for U0/U1,thermal-model mixing,retained but not decision-driving
warranty_years,year,warranty metadata,manufacturer warranty,SENSITIVITY,Defines validity horizon/context for warranty interpretation,positive integer/number when supplied,Project lifetime remains independent primary input,warranty-as-degradation bias,warranty sensitivity only
source_url,URL,provenance,datasheet/supplier/lab,NO_RANK,Human-verifiable evidence link,must be source corresponding to exact product/evidence when populated,Blank allowed but lowers evidence quality,source mismatch,provenance only
evidence_status,category,provenance,curated/user,NO_RANK,"States whether row is seeded, user supplied, verified, etc.",enumerate/inspect; does not directly add points,Unknown/blank does not create a score,evidence-label score bias,display/audit only
source_note,text,provenance,curated/user,NO_RANK,Documents source caveats and interpretation,free text; must not be parsed into score,Blank allowed,hidden assumption,audit only
iec61853_matrix_file,path,electrical evidence,IEC 61853 lab/user,YES_PREFERRED,Points to module-specific G-T measured performance surface,file exists; matrix validation; useful G/T span; duplicate/STC checks,c-Si may use CEC fallback; non-c-Si fails closed,model-form bias,primary evidence selector
spectral_evidence_level,category,spectral evidence,lab/user,SENSITIVITY,Records quality/type of spectral evidence,label alone cannot change primary energy in current engine,technology proxy remains sensitivity,spectral label overclaim,fail-closed V9
bom_evidence_status,category,BOM/reliability evidence,manufacturer/lab/user,NO_CURRENT_RANK,Tracks whether bill-of-material/reliability evidence exists,must be traceable before any BOM-specific degradation coefficient is enabled,No BOM score or technology-class penalty,reliability heuristic bias,metadata only; future calibrated model
spectral_response_file,path,spectral evidence,IEC 61853-2/EQE lab data,NO_CURRENT_PRIMARY,Reserved for module-specific SR/EQE curve,must exist and pair with time-resolved spectral irradiance before use,Do not promote technology-class proxy,spectral model bias,schema-ready; execution intentionally gated
spectral_irradiance_source,text/path,spectral resource,measured/validated dataset,NO_CURRENT_PRIMARY,Identifies time-resolved spectral irradiance needed to couple module SR to climate,must define wavelength bands/units/time alignment,No broadband-only substitution for module-specific claim,resource/spectral mismatch,schema-ready; execution intentionally gated
iam_curve_file,path,optical evidence,IEC 61853-2/lab,NO_CURRENT_MODULE_SPECIFIC,Reserved for module-specific angle-of-incidence response,must exist and include angle/response/uncertainty before replacing common fallback,common physical glass IAM used identically across candidates,optical model-form bias,schema-ready; common fallback disclosed
thermal_evidence_source,text/path,thermal evidence,IEC 61853-2/lab,AUDIT,Traceability for module-specific Faiman U0/U1,required provenance when U0/U1 are populated in production,generic construction proxy disclosed,untraceable thermal coefficient,added evidence traceability
electrical_model_validation_reference,text/path,electrical evidence,lab/PAN/validation study,AUDIT,Traceability showing model form was validated for exact module/device,must identify exact module/model and metric in production,absence does not upgrade non-c-Si eligibility,model-form overclaim,added evidence traceability
bom_source_reference,text/path,BOM/reliability evidence,manufacturer/PVEL/qualification evidence,AUDIT,Traceability for encapsulant/glass/backsheet/cell/interconnect evidence,exact BOM/version/date required before calibrated degradation use,No technology-class BOM inference,BOM generalization bias,added evidence traceability
